model,seed,tau,val_f1_05,val_f1_tau,val_acc_05,val_acc_tau,val_prec_05,val_prec_tau,val_rec_05,val_rec_tau,val_auc
lstm_baseline,42,0.5250812768936157,0.8411214953271028,0.84375,0.919558359621451,0.9211356466876972,0.8132530120481928,0.8181818181818182,0.8709677419354839,0.8709677419354839,0.9639032931510539
lstm_baseline,0,0.5467212200164795,0.844311377245509,0.8518518518518519,0.917981072555205,0.9242902208201893,0.7877094972067039,0.8165680473372781,0.9096774193548387,0.8903225806451613,0.9641457337194425
lstm_baseline,1,0.5654491782188416,0.8220858895705522,0.8301886792452831,0.9085173501577287,0.9148264984227129,0.783625730994152,0.8098159509202454,0.864516129032258,0.8516129032258064,0.9609266617280625
lstm_baseline,2,0.5916042923927307,0.8656716417910447,0.8780487804878049,0.9290220820189274,0.9369085173501577,0.8055555555555556,0.8323699421965318,0.9354838709677419,0.9290322580645162,0.9705165330998721
lstm_baseline,3,0.41005703806877136,0.8333333333333334,0.8414985590778098,0.9116719242902208,0.9132492113564669,0.7734806629834254,0.7604166666666666,0.9032258064516129,0.9419354838709677,0.9672974611084921
transformer_searched,42,0.5728209614753723,0.891640866873065,0.9022082018927445,0.944794952681388,0.9511041009463722,0.8571428571428571,0.8827160493827161,0.9290322580645162,0.9225806451612903,0.9824634655532359
transformer_searched,0,0.7034978270530701,0.815028901734104,0.8634920634920635,0.8990536277602523,0.9321766561514195,0.7382198952879581,0.85,0.9096774193548387,0.8774193548387097,0.97265809145397
transformer_searched,1,0.359510213136673,0.8641975308641975,0.8672566371681416,0.9305993690851735,0.9290220820189274,0.8284023668639053,0.7989130434782609,0.9032258064516129,0.9483870967741935,0.9807394437335848
transformer_searched,2,0.3162838816642761,0.8454258675078864,0.8690476190476191,0.9227129337539433,0.9305993690851735,0.8271604938271605,0.8066298342541437,0.864516129032258,0.9419354838709677,0.9784766650952926
transformer_searched,3,0.8993351459503174,0.8363636363636363,0.8590163934426229,0.9148264984227129,0.9321766561514195,0.7885714285714286,0.8733333333333333,0.8903225806451613,0.8451612903225807,0.9802949693582059
transformer_default,42,0.3491884768009186,0.8134556574923547,0.8194842406876791,0.9037854889589906,0.9006309148264984,0.7732558139534884,0.7371134020618557,0.8580645161290322,0.9225806451612903,0.9593912047949357
transformer_default,0,0.4412792921066284,0.8469055374592834,0.8607594936708861,0.9258675078864353,0.9305993690851735,0.8552631578947368,0.84472049689441,0.8387096774193549,0.8774193548387097,0.965075089231598
transformer_default,1,0.43490079045295715,0.8295819935691319,0.8411214953271028,0.916403785488959,0.919558359621451,0.8269230769230769,0.8132530120481928,0.832258064516129,0.8709677419354839,0.9698296181561048
transformer_default,2,0.5620540976524353,0.8,0.8125,0.886435331230284,0.8958990536277602,0.7024390243902439,0.7258883248730964,0.9290322580645162,0.9225806451612903,0.9553235908141962
transformer_default,3,0.3770872950553894,0.7935483870967742,0.8461538461538461,0.8990536277602523,0.917981072555205,0.7935483870967742,0.7814207650273224,0.7935483870967742,0.9225806451612903,0.964980806788336
