f1_rank,cfg_id,val_f1,val_acc,val_auc
1,d128_ff512_L4_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8916,0.9448,0.9825
2,d128_ff256_L4_last_spe__adamw_lr1e-04_plateau_do0.1_wd1e-02,0.8882,0.9432,0.9795
3,d128_ff256_L4_last_spe__adamw_lr1e-04_plateau_do0.1_wd1e-05,0.8882,0.9432,0.9795
4,d128_ff256_L4_last_spe__adamw_lr3e-04_warmup_cosine_do0.1_wd1e-02,0.8847,0.9416,0.9823
5,d128_ff256_L4_last_spe__adamw_lr3e-04_warmup_cosine_do0.1_wd1e-05,0.8847,0.9416,0.9823
6,d128_ff256_L4_last_spe__adamw_lr1e-03_warmup_cosine_do0.1_wd1e-05,0.8779,0.9416,0.9822
7,d128_ff512_L4_last_spe__adamw_lr1e-03_plateau_do0.1_wd1e-05,0.8773,0.9369,0.9801
8,d64_ff128_L4_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8742,0.9369,0.9732
9,d128_ff512_L4_last_spe__adamw_lr1e-03_plateau_do0.1_wd1e-02,0.8715,0.9353,0.9813
10,d128_ff256_L2_cls_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8701,0.9322,0.9792
11,d128_ff256_L4_last_spe__adamw_lr1e-03_plateau_do0.1_wd1e-05,0.8696,0.9338,0.9833
12,d128_ff256_L4_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.869,0.9306,0.9839
13,d128_ff256_L4_last_spe__adamw_lr1e-04_warmup_cosine_do0.1_wd1e-02,0.8685,0.9322,0.9794
14,d128_ff256_L4_last_spe__adamw_lr1e-04_warmup_cosine_do0.1_wd1e-05,0.8685,0.9322,0.9794
15,d128_ff512_L4_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8665,0.929,0.9789
16,d128_ff256_L2_mean_spe__adamw_lr1e-03_plateau_do0.1_wd1e-02,0.864,0.929,0.9812
17,d128_ff256_L4_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8624,0.929,0.9815
18,d128_ff256_L4_last_spe__adamw_lr1e-04_warmup_cosine_do0.3_wd1e-02,0.8624,0.929,0.9768
19,d128_ff256_L4_last_spe__adamw_lr1e-04_warmup_cosine_do0.3_wd1e-05,0.8624,0.929,0.9768
20,d128_ff256_L2_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8617,0.9322,0.9819
21,d128_ff512_L2_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8598,0.929,0.9807
22,d128_ff256_L4_last_spe__adamw_lr1e-04_plateau_do0.3_wd1e-02,0.8598,0.9274,0.9767
23,d128_ff256_L4_last_spe__adamw_lr1e-04_plateau_do0.3_wd1e-05,0.8598,0.9274,0.9767
24,d128_ff256_L4_last_spe__adamw_lr1e-03_warmup_cosine_do0.1_wd1e-02,0.858,0.9274,0.9824
25,d128_ff256_L4_last_spe__adamw_lr3e-04_plateau_do0.1_wd1e-02,0.858,0.9259,0.9798
26,d128_ff256_L4_last_spe__adamw_lr3e-04_plateau_do0.1_wd1e-05,0.858,0.9259,0.9797
27,d128_ff256_L2_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8571,0.9259,0.9804
28,d64_ff128_L4_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,0.8554,0.9243,0.9759
29,d128_ff512_L4_last_spe__adamw_lr1e-03_warmup_cosine_do0.1_wd1e-02,0.8553,0.9274,0.9818
