family_tag,pw,seed,best_epoch,auc_best_epoch,val_f1,val_acc,val_auc,val_f1_auc_ckpt,seconds,device
lstm_lr1e-03_do0.3_h128_nl2,1.682,0,2,2,0.8375,0.917981,0.960213,0.8375,6.3,mps
lstm_lr1e-03_do0.3_h128_nl2,1.682,1,13,4,0.796407,0.892744,0.957438,0.78329,6.7,mps
lstm_lr1e-03_do0.3_h128_nl2,1.682,2,23,23,0.866667,0.930599,0.973345,0.866667,13.1,mps
lstm_lr1e-03_do0.3_h128_nl2,1.682,3,11,11,0.846154,0.92429,0.970719,0.846154,9.5,mps
lstm_lr1e-03_do0.3_h128_nl2,1.682,42,3,4,0.83871,0.921136,0.95923,0.8,6.4,mps
lstm_lr1e-03_do0.3_h256_nl2,1.0,0,5,5,0.83612,0.922713,0.970921,0.83612,14.1,mps
lstm_lr1e-03_do0.3_h256_nl2,1.0,1,6,6,0.855346,0.927445,0.96296,0.855346,15.7,mps
lstm_lr1e-03_do0.3_h256_nl2,1.0,2,8,5,0.855422,0.92429,0.966786,0.672199,15.3,mps
lstm_lr1e-03_do0.3_h256_nl2,1.0,3,14,12,0.83871,0.921136,0.970449,0.834951,20.5,mps
lstm_lr1e-03_do0.3_h256_nl2,1.0,42,3,4,0.794788,0.900631,0.9477,0.791809,12.8,mps
lstm_lr1e-03_do0.3_h256_nl2,1.3,0,4,3,0.815287,0.908517,0.956967,0.783217,13.1,mps
lstm_lr1e-03_do0.3_h256_nl2,1.3,1,6,7,0.857143,0.927445,0.963176,0.840125,15.5,mps
lstm_lr1e-03_do0.3_h256_nl2,1.3,2,8,10,0.867692,0.932177,0.95597,0.862275,17.2,mps
lstm_lr1e-03_do0.3_h256_nl2,1.3,3,7,18,0.845426,0.922713,0.959634,0.81672,22.2,mps
lstm_lr1e-03_do0.3_h256_nl2,1.3,42,8,10,0.832845,0.910095,0.96428,0.807692,18.6,mps
lstm_lr1e-03_do0.3_h256_nl2,1.682,0,7,7,0.831683,0.919558,0.967419,0.831683,13.9,mps
lstm_lr1e-03_do0.3_h256_nl2,1.682,1,6,7,0.85,0.92429,0.956307,0.825806,14.9,mps
lstm_lr1e-03_do0.3_h256_nl2,1.682,2,5,5,0.883117,0.943218,0.975554,0.883117,13.2,mps
lstm_lr1e-03_do0.3_h256_nl2,1.682,3,6,9,0.845679,0.921136,0.970436,0.77037,15.6,mps
lstm_lr1e-03_do0.3_h256_nl2,1.682,42,15,15,0.843373,0.917981,0.969681,0.843373,19.1,mps
lstm_lr1e-03_do0.3_h256_nl2,2.1,0,5,4,0.834835,0.913249,0.964765,0.8,12.4,mps
lstm_lr1e-03_do0.3_h256_nl2,2.1,1,6,6,0.833333,0.908517,0.96626,0.833333,13.5,mps
lstm_lr1e-03_do0.3_h256_nl2,2.1,2,7,8,0.847896,0.925868,0.970853,0.825581,14.5,mps
lstm_lr1e-03_do0.3_h256_nl2,2.1,3,10,10,0.855385,0.925868,0.97154,0.855385,15.8,mps
lstm_lr1e-03_do0.3_h256_nl2,2.1,42,17,20,0.835821,0.913249,0.961263,0.832765,23.1,mps
lstm_lr1e-03_do0.3_h256_nl2,2.5,0,7,7,0.841791,0.916404,0.971163,0.841791,13.9,mps
lstm_lr1e-03_do0.3_h256_nl2,2.5,1,8,8,0.854489,0.925868,0.972133,0.854489,14.6,mps
lstm_lr1e-03_do0.3_h256_nl2,2.5,2,16,16,0.869301,0.932177,0.9748,0.869301,19.6,mps
lstm_lr1e-03_do0.3_h256_nl2,2.5,3,10,8,0.846395,0.922713,0.968227,0.844193,14.6,mps
lstm_lr1e-03_do0.3_h256_nl2,2.5,42,7,7,0.841772,0.921136,0.961802,0.841772,13.9,mps
lstm_lr1e-03_do0.5_h128_nl2,1.682,0,4,19,0.840841,0.916404,0.960698,0.791139,12.3,mps
lstm_lr1e-03_do0.5_h128_nl2,1.682,1,24,23,0.828829,0.910095,0.963418,0.79878,13.7,mps
lstm_lr1e-03_do0.5_h128_nl2,1.682,2,13,12,0.844985,0.919558,0.962085,0.8,9.5,mps
lstm_lr1e-03_do0.5_h128_nl2,1.682,3,12,12,0.868502,0.932177,0.968362,0.868502,9.6,mps
lstm_lr1e-03_do0.5_h128_nl2,1.682,42,6,9,0.826748,0.910095,0.95395,0.793103,8.7,mps
transformer_default,1.682,0,15,6,0.837662,0.921136,0.947552,0.8,7.7,mps
transformer_default,1.682,1,18,10,0.830409,0.908517,0.961331,0.802548,9.5,mps
transformer_default,1.682,2,6,6,0.834951,0.919558,0.964294,0.834951,7.8,mps
transformer_default,1.682,3,10,11,0.794203,0.888013,0.956118,0.77095,9.8,mps
transformer_default,1.682,42,5,10,0.828221,0.911672,0.953963,0.796657,9.6,mps
transformer_searched,1.0,0,19,27,0.820513,0.911672,0.956576,0.782007,23.9,mps
transformer_searched,1.0,1,22,22,0.876623,0.940063,0.981938,0.876623,21.4,mps
transformer_searched,1.0,2,17,20,0.859813,0.929022,0.974207,0.858086,19.9,mps
transformer_searched,1.0,3,15,10,0.8625,0.930599,0.972604,0.839744,15.3,mps
transformer_searched,1.0,42,33,18,0.869841,0.935331,0.969951,0.849315,19.3,mps
transformer_searched,1.3,0,20,27,0.844037,0.919558,0.962125,0.842767,24.5,mps
transformer_searched,1.3,1,39,39,0.87013,0.936909,0.979972,0.87013,31.1,mps
transformer_searched,1.3,2,17,20,0.864516,0.933754,0.973399,0.855346,19.9,mps
transformer_searched,1.3,3,9,12,0.851852,0.92429,0.972012,0.831909,15.3,mps
transformer_searched,1.3,42,12,12,0.851735,0.925868,0.975729,0.851735,15.7,mps
transformer_searched,1.682,0,20,30,0.855305,0.929022,0.967311,0.855263,25.6,mps
transformer_searched,1.682,1,20,13,0.849398,0.921136,0.970193,0.790323,16.0,mps
transformer_searched,1.682,2,18,24,0.875399,0.938486,0.979096,0.843373,22.2,mps
transformer_searched,1.682,3,31,22,0.862385,0.929022,0.970799,0.860681,21.0,mps
transformer_searched,1.682,42,25,25,0.863354,0.930599,0.978813,0.863354,22.7,mps
transformer_searched,2.1,0,14,16,0.857143,0.930599,0.96952,0.847561,17.7,mps
transformer_searched,2.1,1,25,21,0.830189,0.914826,0.96222,0.822823,20.5,mps
transformer_searched,2.1,2,42,30,0.846847,0.919558,0.967782,0.812121,25.6,mps
transformer_searched,2.1,3,9,10,0.851064,0.922713,0.971096,0.823881,14.2,mps
transformer_searched,2.1,42,10,34,0.858006,0.925868,0.969547,0.84472,27.8,mps
transformer_searched,2.5,0,30,26,0.865031,0.930599,0.979258,0.840237,23.3,mps
transformer_searched,2.5,1,31,21,0.842697,0.911672,0.975662,0.822535,20.5,mps
transformer_searched,2.5,2,35,27,0.859701,0.925868,0.974261,0.844828,23.8,mps
transformer_searched,2.5,3,9,9,0.88125,0.940063,0.980564,0.88125,13.7,mps
transformer_searched,2.5,42,12,20,0.86747,0.930599,0.977493,0.863905,19.9,mps
