arm,seed,tau,test_f1,test_acc,test_auc,test_pr_auc,test_prec,test_rec,test05_f1,test05_acc,test05_auc,test05_pr_auc,test05_prec,test05_rec
A0,42,0.5,0.822757,0.883954,0.913114,0.856292,0.817391,0.828194,0.822757,0.883954,0.913114,0.856292,0.817391,0.828194
A0,0,0.5,0.837571,0.890162,0.933424,0.866201,0.806803,0.870778,0.837571,0.890162,0.933424,0.866201,0.806803,0.870778
A0,1,0.5,0.843424,0.89255,0.943189,0.892002,0.801587,0.889868,0.843424,0.89255,0.943189,0.892002,0.801587,0.889868
A0,2,0.5,0.817439,0.872015,0.936295,0.895734,0.762389,0.881057,0.817439,0.872015,0.936295,0.895734,0.762389,0.881057
A0,3,0.5,0.816269,0.874881,0.935822,0.867493,0.781208,0.854626,0.816269,0.874881,0.935822,0.867493,0.781208,0.854626
A0,ens,0.5,0.837011,0.89064,0.942343,0.8891,0.812155,0.863436,0.837011,0.89064,0.942343,0.8891,0.812155,0.863436
A1,42,0.525081,0.822059,0.884432,0.913114,0.856292,0.82327,0.820852,0.822757,0.883954,0.913114,0.856292,0.817391,0.828194
A1,0,0.546721,0.847482,0.898758,0.933424,0.866201,0.830748,0.864905,0.837571,0.890162,0.933424,0.866201,0.806803,0.870778
A1,1,0.565449,0.859185,0.905922,0.943189,0.892002,0.837047,0.882526,0.843424,0.89255,0.943189,0.892002,0.801587,0.889868
A1,2,0.591604,0.826667,0.882044,0.936295,0.895734,0.791667,0.864905,0.817439,0.872015,0.936295,0.895734,0.762389,0.881057
A1,3,0.410057,0.816076,0.87106,0.935822,0.867493,0.761118,0.879589,0.816269,0.874881,0.935822,0.867493,0.781208,0.854626
A1,ens,0.541717,0.845212,0.897326,0.942343,0.8891,0.829096,0.861968,0.837011,0.89064,0.942343,0.8891,0.812155,0.863436
A2,42,0.493124,0.853966,0.905922,0.940499,0.881395,0.862275,0.845815,0.854151,0.906877,0.940499,0.881395,0.870427,0.838473
A2,0,0.50091,0.841507,0.893505,0.938025,0.859546,0.815427,0.86931,0.84233,0.893983,0.938025,0.859546,0.815681,0.870778
A2,1,0.560782,0.840088,0.896371,0.923548,0.879178,0.843195,0.837004,0.828269,0.883954,0.923548,0.879178,0.798365,0.860499
A2,2,0.541271,0.8161,0.873448,0.927514,0.859416,0.773684,0.863436,0.814001,0.870583,0.927514,0.859416,0.764175,0.870778
A2,3,0.519531,0.844477,0.897803,0.935088,0.871394,0.835971,0.853157,0.843931,0.896848,0.935088,0.871394,0.830725,0.857562
A2,ens,0.569715,0.842105,0.898281,0.939843,0.878199,0.850299,0.834068,0.838664,0.891595,0.939843,0.878199,0.812672,0.866373
A3,42,0.605191,0.833706,0.893505,0.938668,0.878776,0.84697,0.820852,0.832745,0.886819,0.938668,0.878776,0.80163,0.866373
A3,0,0.496764,0.84021,0.898281,0.939791,0.876197,0.858896,0.82232,0.840841,0.898758,0.939791,0.876197,0.860215,0.82232
A3,1,0.497643,0.849862,0.895893,0.93945,0.883006,0.800259,0.906021,0.849655,0.895893,0.93945,0.883006,0.80104,0.904552
A3,2,0.501041,0.844682,0.903056,0.93715,0.866354,0.881789,0.810573,0.84492,0.903056,0.93715,0.866354,0.880573,0.812041
A3,3,0.532822,0.853372,0.904489,0.944907,0.883666,0.852123,0.854626,0.853868,0.902579,0.944907,0.883666,0.833566,0.875184
A3,ens,0.51643,0.855685,0.905444,0.946739,0.887538,0.849493,0.861968,0.853641,0.903056,0.946739,0.887538,0.838527,0.86931
B0,42,0.5,0.849822,0.899236,0.948864,0.892747,0.824586,0.876652,0.849822,0.899236,0.948864,0.892747,0.824586,0.876652
B0,0,0.5,0.830727,0.881089,0.947425,0.915236,0.773418,0.89721,0.830727,0.881089,0.947425,0.915236,0.773418,0.89721
B0,1,0.5,0.840989,0.89255,0.949934,0.891554,0.810627,0.873715,0.840989,0.89255,0.949934,0.891554,0.810627,0.873715
B0,2,0.5,0.837446,0.893028,0.948408,0.907908,0.827834,0.847283,0.837446,0.893028,0.948408,0.907908,0.827834,0.847283
B0,3,0.5,0.864164,0.904967,0.953782,0.897557,0.807398,0.929515,0.864164,0.904967,0.953782,0.897557,0.807398,0.929515
B0,ens,0.5,0.849043,0.898281,0.955811,0.910375,0.820548,0.879589,0.849043,0.898281,0.955811,0.910375,0.820548,0.879589
B1,42,0.572821,0.854242,0.904011,0.948864,0.892747,0.84384,0.864905,0.849822,0.899236,0.948864,0.892747,0.824586,0.876652
B1,0,0.703498,0.845528,0.900191,0.947425,0.915236,0.85119,0.839941,0.830727,0.881089,0.947425,0.915236,0.773418,0.89721
B1,1,0.35951,0.834364,0.884909,0.949934,0.891554,0.784238,0.891336,0.840989,0.89255,0.949934,0.891554,0.810627,0.873715
B1,2,0.316284,0.832642,0.884432,0.948408,0.907908,0.786928,0.883994,0.837446,0.893028,0.948408,0.907908,0.827834,0.847283
B1,3,0.899335,0.876833,0.919771,0.953782,0.897557,0.875549,0.87812,0.864164,0.904967,0.953782,0.897557,0.807398,0.929515
B1,ens,0.625436,0.861694,0.908787,0.955811,0.910375,0.85,0.873715,0.849043,0.898281,0.955811,0.910375,0.820548,0.879589
B2,42,0.622943,0.85044,0.902579,0.946284,0.893471,0.849195,0.851689,0.850036,0.899236,0.946284,0.893471,0.823691,0.87812
B2,0,0.509024,0.849518,0.903056,0.935207,0.900546,0.857784,0.84141,0.849112,0.902579,0.935207,0.900546,0.85544,0.842878
B2,1,0.405138,0.835739,0.885864,0.949858,0.897175,0.78553,0.892805,0.844101,0.893983,0.949858,0.897175,0.808883,0.882526
B2,2,0.515628,0.847873,0.899236,0.950177,0.901949,0.832861,0.863436,0.848138,0.898758,0.950177,0.901949,0.827972,0.86931
B2,3,0.52356,0.847795,0.897803,0.942294,0.866125,0.822069,0.875184,0.846426,0.896371,0.942294,0.866125,0.81694,0.87812
B2,ens,0.653401,0.861654,0.91213,0.953868,0.913488,0.882897,0.84141,0.849748,0.900191,0.953868,0.913488,0.832394,0.867841
B3,42,0.5,0.838893,0.891595,0.955806,0.911556,0.811813,0.867841,0.838893,0.891595,0.955806,0.911556,0.811813,0.867841
B3,0,0.594719,0.861293,0.908787,0.947333,0.908416,0.852011,0.870778,0.856115,0.904489,0.947333,0.908416,0.83921,0.873715
B3,1,0.521755,0.824573,0.877268,0.931539,0.893198,0.770408,0.886931,0.825763,0.877268,0.931539,0.893198,0.767003,0.894273
B3,2,0.497267,0.841742,0.89064,0.946857,0.895238,0.795039,0.894273,0.842907,0.891595,0.946857,0.895238,0.79712,0.894273
B3,3,0.519041,0.86844,0.912607,0.952883,0.895441,0.850704,0.886931,0.870437,0.913563,0.952883,0.895441,0.849162,0.892805
B3,ens,0.653752,0.856512,0.906877,0.954996,0.911175,0.858407,0.854626,0.84947,0.898281,0.954996,0.911175,0.818801,0.882526
