rank_by_f1,config,lr,dropout,hidden,num_layers,n_params,best_epoch,seed42_val_f1,seed42_val_auc
1,lr5e-04_do0.5_h256_nl2,5e-04,0.5,256,2,1678209,22,0.8544,0.9751
2,lr5e-04_do0.3_h256_nl2,5e-04,0.3,256,2,1678209,9,0.8544,0.973
3,lr1e-03_do0.3_h256_nl2,1e-03,0.3,256,2,1678209,21,0.8519,0.9716
4,lr1e-03_doNA_h256_nl1,1e-03,inert,256,1,495489,8,0.8511,0.9654
5,lr5e-04_do0.2_h256_nl2,5e-04,0.2,256,2,1678209,12,0.8508,0.9711
6,lr1e-03_do0.2_h256_nl2,1e-03,0.2,256,2,1678209,12,0.8491,0.977
7,lr1e-04_do0.2_h64_nl2,1e-04,0.2,64,2,124929,38,0.8488,0.9691
8,lr1e-03_do0.5_h64_nl2,1e-03,0.5,64,2,124929,7,0.8485,0.968
9,lr1e-03_doNA_h64_nl1,1e-03,inert,64,1,50433,5,0.8424,0.9594
10,lr1e-04_do0.3_h64_nl2,1e-04,0.3,64,2,124929,38,0.8421,0.968
11,lr5e-04_do0.2_h64_nl2,5e-04,0.2,64,2,124929,7,0.8415,0.9606
12,lr1e-04_do0.5_h64_nl2,1e-04,0.5,64,2,124929,38,0.8412,0.9656
13,lr5e-04_do0.5_h64_nl2,5e-04,0.5,64,2,124929,10,0.8405,0.9585
14,lr1e-04_doNA_h256_nl1,1e-04,inert,256,1,495489,24,0.8399,0.9567
15,lr1e-03_do0.3_h128_nl2,1e-03,0.3,128,2,446081,6,0.8379,0.9664
16,lr1e-03_doNA_h128_nl1,1e-03,inert,128,1,149633,7,0.8369,0.9596
17,lr1e-04_do0.5_h128_nl2,1e-04,0.5,128,2,446081,18,0.8364,0.9547
18,lr1e-04_do0.5_h256_nl2,1e-04,0.5,256,2,1678209,14,0.8364,0.9566
19,lr5e-04_do0.3_h64_nl2,5e-04,0.3,64,2,124929,7,0.8364,0.9586
20,lr5e-04_doNA_h64_nl1,5e-04,inert,64,1,50433,7,0.8364,0.9548
21,lr1e-03_do0.2_h128_nl2,1e-03,0.2,128,2,446081,17,0.8348,0.9675
22,lr1e-03_do0.5_h256_nl2,1e-03,0.5,256,2,1678209,37,0.8344,0.9704
23,lr1e-04_do0.2_h128_nl2,1e-04,0.2,128,2,446081,16,0.8344,0.9526
24,lr1e-04_do0.3_h256_nl2,1e-04,0.3,256,2,1678209,14,0.8344,0.9583
25,lr1e-04_do0.3_h128_nl2,1e-04,0.3,128,2,446081,16,0.8317,0.9546
26,lr5e-04_doNA_h256_nl1,5e-04,inert,256,1,495489,11,0.8317,0.9603
27,lr1e-04_do0.2_h256_nl2,1e-04,0.2,256,2,1678209,14,0.8303,0.9581
28,lr5e-04_do0.3_h128_nl2,5e-04,0.3,128,2,446081,6,0.8282,0.9631
29,lr1e-03_do0.5_h128_nl2,1e-03,0.5,128,2,446081,14,0.826,0.9641
30,lr1e-03_do0.2_h64_nl2,1e-03,0.2,64,2,124929,5,0.8249,0.9682
31,lr5e-04_doNA_h128_nl1,5e-04,inert,128,1,149633,7,0.8235,0.9561
32,lr1e-04_doNA_h128_nl1,1e-04,inert,128,1,149633,20,0.8228,0.9462
33,lr5e-04_do0.5_h128_nl2,5e-04,0.5,128,2,446081,10,0.819,0.9593
34,lr5e-04_do0.2_h128_nl2,5e-04,0.2,128,2,446081,6,0.8182,0.9645
35,lr1e-04_doNA_h64_nl1,1e-04,inert,64,1,50433,31,0.8162,0.9519
36,lr1e-03_do0.3_h64_nl2,1e-03,0.3,64,2,124929,7,0.8108,0.9663
