config,obs_len,tte_min,tte_max,seed,n_train,n_test,test_pos,best_epoch,auc,pr_auc,f1,acc,prec,rec
tte30,16,30,30,42,562,541,0.329,30,0.9599,0.92,0.8791,0.9187,0.8602,0.8989
tte30,16,30,30,0,562,541,0.329,21,0.962,0.9232,0.8605,0.9113,0.8916,0.8315
tte30,16,30,30,1,562,541,0.329,28,0.9568,0.9128,0.8449,0.8928,0.8061,0.8876
tte30,16,30,30,2,562,541,0.329,15,0.966,0.9283,0.861,0.9039,0.8214,0.9045
tte30,16,30,30,3,562,541,0.329,19,0.9571,0.9151,0.8649,0.9076,0.8333,0.8989
tte45,16,45,45,42,541,521,0.3225,8,0.9514,0.8883,0.8563,0.9079,0.8614,0.8512
tte45,16,45,45,0,541,521,0.3225,24,0.942,0.8786,0.8261,0.8925,0.8636,0.7917
tte45,16,45,45,1,541,521,0.3225,11,0.9506,0.8779,0.8643,0.906,0.8083,0.9286
tte45,16,45,45,2,541,521,0.3225,22,0.9489,0.8987,0.8105,0.8618,0.7264,0.9167
tte45,16,45,45,3,541,521,0.3225,18,0.9447,0.8686,0.8528,0.9079,0.8797,0.8274
tte60,16,60,60,42,519,493,0.3266,10,0.9107,0.8498,0.791,0.8682,0.82,0.764
tte60,16,60,60,0,519,493,0.3266,9,0.9284,0.846,0.7612,0.86,0.8594,0.6832
tte60,16,60,60,1,519,493,0.3266,11,0.9188,0.8501,0.7815,0.8661,0.8369,0.7329
tte60,16,60,60,2,519,493,0.3266,12,0.926,0.8467,0.8314,0.8824,0.7814,0.8882
tte60,16,60,60,3,519,493,0.3266,20,0.9095,0.8453,0.7666,0.8641,0.873,0.6832
