config,obs_len,tte_min,tte_max,seed,n_train,n_test,test_pos,best_epoch,auc,pr_auc,f1,acc,prec,rec
obs8,8,30,60,42,4428,4256,0.3257,3,0.9403,0.8826,0.8476,0.8994,0.8368,0.8586
obs8,8,30,60,0,4428,4256,0.3257,4,0.9294,0.875,0.8229,0.8799,0.7919,0.8564
obs8,8,30,60,1,4428,4256,0.3257,3,0.9204,0.8731,0.831,0.8884,0.8196,0.8427
obs8,8,30,60,2,4428,4256,0.3257,2,0.929,0.8665,0.8077,0.8872,0.9081,0.7273
obs8,8,30,60,3,4428,4256,0.3257,2,0.9382,0.8682,0.8435,0.895,0.8192,0.8694
obs16,16,30,60,42,2178,2094,0.3252,17,0.9216,0.8764,0.8206,0.8801,0.7994,0.8429
obs16,16,30,60,0,2178,2094,0.3252,2,0.9357,0.8515,0.8451,0.8983,0.8372,0.8532
obs16,16,30,60,1,2178,2094,0.3252,4,0.9396,0.8847,0.824,0.8754,0.7618,0.8972
obs16,16,30,60,2,2178,2094,0.3252,10,0.9335,0.8653,0.8121,0.8696,0.7642,0.8664
obs16,16,30,60,3,2178,2094,0.3252,7,0.9363,0.8714,0.8393,0.8906,0.8038,0.8781
obs30,30,30,60,42,1567,1481,0.3255,9,0.9435,0.8724,0.8296,0.8818,0.7817,0.8838
obs30,30,30,60,0,1567,1481,0.3255,6,0.9461,0.8655,0.8554,0.9014,0.8182,0.8963
obs30,30,30,60,1,1567,1481,0.3255,20,0.932,0.8733,0.8309,0.8967,0.8889,0.7801
obs30,30,30,60,2,1567,1481,0.3255,18,0.9318,0.8652,0.8094,0.8636,0.7422,0.89
obs30,30,30,60,3,1567,1481,0.3255,7,0.9326,0.8582,0.8447,0.8987,0.843,0.8465
