num_layers,dropout,n_params,seed,best_epoch,auc,pr_auc,f1,acc,prec,rec
1,0.0,199297,42,22,0.9224,0.8651,0.8279,0.8892,0.8366,0.8194
1,0.0,199297,0,14,0.9318,0.8763,0.8258,0.8902,0.8529,0.8003
1,0.0,199297,1,4,0.9424,0.8943,0.8472,0.8954,0.8072,0.8913
1,0.0,199297,2,17,0.9245,0.8701,0.8245,0.8825,0.8017,0.8488
1,0.0,199297,3,17,0.9315,0.8693,0.8215,0.8844,0.8252,0.8179
2,0.3,594561,42,4,0.9354,0.8791,0.8455,0.9002,0.8512,0.8399
2,0.3,594561,0,2,0.9368,0.8584,0.8462,0.8964,0.8178,0.8767
2,0.3,594561,1,5,0.936,0.8854,0.8229,0.8773,0.7753,0.8767
2,0.3,594561,2,14,0.9294,0.8695,0.775,0.8266,0.6706,0.9178
2,0.3,594561,3,6,0.9215,0.8717,0.8267,0.8811,0.7857,0.8722
3,0.3,989825,42,4,0.9203,0.8534,0.8374,0.9002,0.8907,0.79
3,0.3,989825,0,3,0.9367,0.8756,0.572,0.7985,0.9246,0.4141
3,0.3,989825,1,7,0.9412,0.8778,0.8545,0.9026,0.8308,0.8796
3,0.3,989825,2,4,0.9258,0.8622,0.8254,0.8868,0.8284,0.8223
3,0.3,989825,3,9,0.9322,0.8305,0.862,0.9112,0.8711,0.8532
