rank,config,lr,dropout,num_layers,hidden,n_params,best_epoch,val_auc,val_f1,val_acc
1,lr1e-04_do0.3_h128_nl2,1e-04,0.3,2,128,594561,9,0.9702,0.8483,0.9227
2,lr1e-04_do0.2_h128_nl2,1e-04,0.2,2,128,594561,13,0.9697,0.8286,0.9243
3,lr1e-04_do0.2_h256_nl2,1e-04,0.2,2,256,2237313,10,0.966,0.8477,0.9274
4,lr1e-03_do0.5_h128_nl2,1e-03,0.5,2,128,594561,15,0.9651,0.8282,0.9117
5,lr1e-03_do0.3_h128_nl2,1e-03,0.3,2,128,594561,6,0.9645,0.8288,0.9101
6,lr1e-03_do0.3_h256_nl2,1e-03,0.3,2,256,2237313,10,0.9642,0.844,0.9196
7,lr1e-03_do0.2_h128_nl2,1e-03,0.2,2,128,594561,3,0.9629,0.8411,0.9196
8,lr1e-03_do0.2_h256_nl2,1e-03,0.2,2,256,2237313,15,0.9617,0.8123,0.9132
9,lr1e-03_do0.5_h256_nl2,1e-03,0.5,2,256,2237313,16,0.9609,0.7821,0.8927
10,lr1e-04_do0.3_h256_nl2,1e-04,0.3,2,256,2237313,14,0.9596,0.8081,0.8959
11,lr5e-04_do0.5_h256_nl2,5e-04,0.5,2,256,2237313,7,0.9591,0.8073,0.9164
12,lr5e-04_do0.3_h128_nl2,5e-04,0.3,2,128,594561,5,0.9583,0.8,0.9022
13,lr5e-04_do0.5_h128_nl2,5e-04,0.5,2,128,594561,7,0.9561,0.8179,0.9101
14,lr1e-03_doNA_h128_nl1,1e-03,inert,1,128,199297,22,0.9554,0.7975,0.8975
15,lr1e-04_doNA_h128_nl1,1e-04,inert,1,128,199297,16,0.9549,0.8318,0.9132
16,lr1e-03_do0.5_h64_nl2,1e-03,0.5,2,64,166401,4,0.9547,0.8464,0.9227
17,lr1e-03_doNA_h256_nl1,1e-03,inert,1,256,660353,4,0.9544,0.8276,0.9132
18,lr5e-04_doNA_h256_nl1,5e-04,inert,1,256,660353,5,0.9541,0.7539,0.8517
19,lr1e-04_do0.5_h128_nl2,1e-04,0.5,2,128,594561,13,0.9536,0.8053,0.9069
20,lr1e-04_do0.2_h64_nl2,1e-04,0.2,2,64,166401,22,0.9534,0.7786,0.9022
21,lr5e-04_do0.3_h256_nl2,5e-04,0.3,2,256,2237313,4,0.9522,0.7922,0.8991
22,lr1e-03_do0.2_h64_nl2,1e-03,0.2,2,64,166401,4,0.952,0.7883,0.8975
23,lr1e-04_do0.3_h64_nl2,1e-04,0.3,2,64,166401,14,0.9518,0.7915,0.8912
24,lr5e-04_do0.2_h128_nl2,5e-04,0.2,2,128,594561,3,0.9504,0.7832,0.8943
25,lr1e-04_do0.5_h256_nl2,1e-04,0.5,2,256,2237313,13,0.9499,0.8072,0.8991
26,lr5e-04_do0.3_h64_nl2,5e-04,0.3,2,64,166401,5,0.9497,0.8098,0.9022
27,lr1e-03_do0.3_h64_nl2,1e-03,0.3,2,64,166401,4,0.9477,0.7987,0.8991
28,lr1e-03_doNA_h64_nl1,1e-03,inert,1,64,67073,19,0.9476,0.7596,0.8722
29,lr5e-04_do0.5_h64_nl2,5e-04,0.5,2,64,166401,5,0.9473,0.7911,0.8959
30,lr5e-04_do0.2_h64_nl2,5e-04,0.2,2,64,166401,5,0.9467,0.7832,0.8943
31,lr1e-04_do0.5_h64_nl2,1e-04,0.5,2,64,166401,15,0.9456,0.8218,0.9022
32,lr1e-04_doNA_h256_nl1,1e-04,inert,1,256,660353,15,0.9454,0.7885,0.8959
33,lr5e-04_doNA_h128_nl1,5e-04,inert,1,128,199297,9,0.9448,0.7731,0.8722
34,lr1e-04_doNA_h64_nl1,1e-04,inert,1,64,67073,16,0.9423,0.7752,0.8912
35,lr5e-04_do0.2_h256_nl2,5e-04,0.2,2,256,2237313,2,0.9408,0.7898,0.8959
36,lr5e-04_doNA_h64_nl1,5e-04,inert,1,64,67073,6,0.9395,0.8084,0.8991
