model,seed,best_epoch,auc,f1,acc,prec,rec
bilstm_baseline,42,3,0.9311289733284619,0.8438818565400844,0.8739352640545145,0.819672131147541,0.8695652173913043
bilstm_baseline,0,5,0.9368651808549506,0.8446215139442231,0.8671209540034072,0.7794117647058824,0.9217391304347826
bilstm_baseline,1,22,0.9568262087443673,0.8571428571428571,0.8824531516183987,0.8181818181818182,0.9
bilstm_baseline,7,24,0.9612471075386676,0.8577235772357723,0.8807495741056218,0.8053435114503816,0.9173913043478261
bilstm_baseline,123,22,0.9536353671903545,0.8600823045267489,0.8841567291311755,0.81640625,0.908695652173913
bilstm_bbox_only,42,6,0.8885397637315795,0.7969348659003831,0.8194207836456558,0.7123287671232876,0.9043478260869565
bilstm_bbox_only,0,3,0.8725246620387286,0.7863247863247863,0.8296422487223168,0.773109243697479,0.8
bilstm_bbox_only,1,7,0.8975886006576543,0.826271186440678,0.8603066439522998,0.8057851239669421,0.8478260869565217
bilstm_bbox_only,7,7,0.8958592132505176,0.8112449799196787,0.8398637137989778,0.753731343283582,0.8782608695652174
bilstm_bbox_only,123,3,0.8800998660333699,0.7846153846153846,0.8091993185689949,0.7034482758620689,0.8869565217391304
bilstm_attention,42,6,0.9327365728900255,0.8446215139442231,0.8671209540034072,0.7794117647058824,0.9217391304347826
bilstm_attention,0,6,0.9384484228473998,0.848,0.8705281090289608,0.7851851851851852,0.9217391304347826
bilstm_attention,1,6,0.947996589940324,0.8577319587628865,0.8824531516183987,0.8156862745098039,0.9043478260869565
bilstm_attention,7,5,0.9425039581049812,0.84251968503937,0.8637137989778535,0.7697841726618705,0.9304347826086956
bilstm_attention,123,9,0.9489221775666788,0.848,0.8705281090289608,0.7851851851851852,0.9217391304347826
