rank_by_f1,config,lr,dropout,hidden,num_layers,n_params,best_epoch,seed42_val_f1,seed42_val_auc,diverged
1,lr5e-04_doNA_h256_nl1,5e-04,inert,256,1,165761,28,0.85,0.9703,False
2,lr1e-03_do0.5_h128_nl2,1e-03,0.5,128,2,149121,13,0.8498,0.9686,False
3,lr1e-03_do0.5_h256_nl2,1e-03,0.5,256,2,560001,20,0.8492,0.9652,False
4,lr1e-03_doNA_h256_nl1,1e-03,inert,256,1,165761,20,0.8485,0.9719,False
5,lr5e-04_do0.2_h128_nl2,5e-04,0.2,128,2,149121,13,0.8444,0.9637,False
6,lr5e-04_do0.3_h256_nl2,5e-04,0.3,256,2,560001,13,0.844,0.9676,False
7,lr1e-03_do0.2_h128_nl2,1e-03,0.2,128,2,149121,14,0.8424,0.966,False
8,lr1e-03_do0.5_h64_nl2,1e-03,0.5,64,2,41985,6,0.8393,0.9667,False
9,lr1e-03_doNA_h128_nl1,1e-03,inert,128,1,50305,7,0.8383,0.9556,False
10,lr1e-04_do0.2_h256_nl2,1e-04,0.2,256,2,560001,12,0.8354,0.9678,False
11,lr5e-04_do0.2_h256_nl2,5e-04,0.2,256,2,560001,24,0.8354,0.966,False
12,lr5e-04_do0.5_h64_nl2,5e-04,0.5,64,2,41985,7,0.8349,0.9635,False
13,lr5e-04_do0.3_h128_nl2,5e-04,0.3,128,2,149121,7,0.8333,0.9599,False
14,lr5e-04_do0.5_h128_nl2,5e-04,0.5,128,2,149121,13,0.8297,0.9621,False
15,lr1e-03_do0.3_h64_nl2,1e-03,0.3,64,2,41985,10,0.828,0.9685,False
16,lr5e-04_do0.3_h64_nl2,5e-04,0.3,64,2,41985,21,0.8274,0.9611,False
17,lr1e-03_do0.3_h256_nl2,1e-03,0.3,256,2,560001,22,0.8265,0.9666,False
18,lr1e-03_do0.3_h128_nl2,1e-03,0.3,128,2,149121,13,0.8251,0.9662,False
19,lr1e-04_doNA_h256_nl1,1e-04,inert,256,1,165761,5,0.8215,0.9357,False
20,lr1e-03_do0.2_h64_nl2,1e-03,0.2,64,2,41985,12,0.8215,0.9671,False
21,lr5e-04_do0.2_h64_nl2,5e-04,0.2,64,2,41985,14,0.8213,0.9628,False
22,lr1e-03_do0.2_h256_nl2,1e-03,0.2,256,2,560001,12,0.8193,0.9631,False
23,lr5e-04_do0.5_h256_nl2,5e-04,0.5,256,2,560001,13,0.8193,0.9669,False
24,lr1e-04_do0.3_h64_nl2,1e-04,0.3,64,2,41985,21,0.8185,0.954,False
25,lr1e-04_doNA_h64_nl1,1e-04,inert,64,1,17153,13,0.8179,0.9416,False
26,lr1e-04_do0.2_h64_nl2,1e-04,0.2,64,2,41985,10,0.8168,0.9526,False
27,lr5e-04_doNA_h128_nl1,5e-04,inert,128,1,50305,8,0.8155,0.9582,False
28,lr1e-04_do0.5_h64_nl2,1e-04,0.5,64,2,41985,12,0.8123,0.9547,False
29,lr5e-04_doNA_h64_nl1,5e-04,inert,64,1,17153,37,0.8123,0.9605,False
30,lr1e-03_doNA_h64_nl1,1e-03,inert,64,1,17153,15,0.811,0.9566,False
31,lr1e-04_do0.3_h128_nl2,1e-04,0.3,128,2,149121,32,0.8098,0.957,False
32,lr1e-04_do0.3_h256_nl2,1e-04,0.3,256,2,560001,18,0.8065,0.9563,False
33,lr1e-04_do0.5_h128_nl2,1e-04,0.5,128,2,149121,9,0.8062,0.9561,False
34,lr1e-04_do0.5_h256_nl2,1e-04,0.5,256,2,560001,23,0.7987,0.9551,False
35,lr1e-04_doNA_h128_nl1,1e-04,inert,128,1,50305,11,0.7987,0.9359,False
36,lr1e-04_do0.2_h128_nl2,1e-04,0.2,128,2,149121,7,0.7906,0.95,False
