rank,cfg_id,d_model,nhead,num_layers,dim_ff,pool,pos,n_params,val_auc
1,d128_ff256_L4_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,256,last,sin,531073,0.983918
2,d128_ff512_L4_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,512,last,sin,794241,0.982463
3,d128_ff256_L2_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,256,mean,sin,266113,0.981925
4,d128_ff256_L4_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,256,mean,sin,531073,0.981467
5,d128_ff512_L2_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,512,last,sin,397697,0.980672
6,d128_ff256_L2_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,256,last,sin,266113,0.980416
7,d64_ff128_L2_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,2,128,last,sin,67521,0.980174
8,d128_ff256_L2_cls_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,256,cls,sin,266241,0.979177
9,d128_ff512_L4_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,512,mean,sin,794241,0.978867
10,d128_ff256_L4_cls_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,256,cls,sin,531201,0.978531
11,d128_ff512_L2_cls_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,512,cls,sin,397825,0.977682
12,d64_ff128_L4_last_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,4,128,last,sin,134465,0.975864
13,d128_ff512_L4_mean_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,512,mean,learned,796289,0.975352
14,d128_ff512_L2_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,512,mean,sin,397697,0.975204
15,d128_ff512_L4_cls_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,512,cls,sin,794369,0.975123
16,d64_ff128_L2_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,2,128,mean,sin,67521,0.974854
17,d128_ff512_L2_mean_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,512,mean,learned,399745,0.974625
18,d128_ff512_L4_last_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,512,last,learned,796289,0.974463
19,d64_ff128_L4_mean_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,4,128,mean,sin,134465,0.973224
20,d128_ff512_L2_last_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,512,last,learned,399745,0.971500
21,d128_ff256_L4_mean_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,256,mean,learned,533121,0.970072
22,d128_ff256_L2_mean_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,256,mean,learned,268161,0.968335
23,d128_ff256_L4_last_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,256,last,learned,533121,0.968173
24,d64_ff128_L4_cls_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,4,128,cls,sin,134529,0.965870
25,d64_ff128_L4_cls_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,4,128,cls,learned,135617,0.962772
26,d64_ff128_L2_cls_spe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,2,128,cls,sin,67585,0.962139
27,d64_ff128_L2_last_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,2,128,last,learned,68545,0.959647
28,d128_ff256_L2_cls_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,256,cls,learned,268417,0.959391
29,d64_ff128_L2_mean_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,2,128,mean,learned,68545,0.958974
30,d64_ff128_L4_last_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,4,128,last,learned,135489,0.958354
31,d128_ff512_L2_cls_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,512,cls,learned,400001,0.957559
32,d64_ff128_L2_cls_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,2,128,cls,learned,68673,0.956482
33,d128_ff512_L4_cls_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,512,cls,learned,796545,0.956361
34,d128_ff256_L4_cls_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,4,256,cls,learned,533377,0.955808
35,d128_ff256_L2_last_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,128,4,2,256,last,learned,268161,0.953505
36,d64_ff128_L4_mean_lpe__adam_lr1e-03_plateau_do0.1_wd1e-05,64,4,4,128,mean,learned,135489,0.948939
